# Moho depth
# POINTS: 2001
277500 8746.7
277750 8709.4
278000 8672.1
278250 8636.68
278500 8601.25
278750 8565.82
279000 8530.4
279250 8496.82
279500 8463.25
279750 8429.68
280000 8396.1
280250 8364.3
280500 8332.5
280750 8300.7
281000 8268.9
281250 8238.85
281500 8208.8
281750 8178.75
282000 8148.7
282250 8120.32
282500 8091.95
282750 8063.57
283000 8035.2
283250 8008.02
283500 7980.85
283750 7953.68
284000 7926.5
284250 7900.7
284500 7874.9
284750 7849.1
285000 7823.3
285250 7798.95
285500 7774.6
285750 7750.25
286000 7725.9
286250 7702.92
286500 7679.95
286750 7656.98
287000 7634
287250 7612.32
287500 7590.65
287750 7568.98
288000 7547.3
288250 7526.85
288500 7506.4
288750 7485.95
289000 7465.5
289250 7446.18
289500 7426.85
289750 7407.52
290000 7388.2
290250 7369.95
290500 7351.7
290750 7333.45
291000 7315.2
291250 7297.92
291500 7280.65
291750 7263.38
292000 7246.1
292250 7229.75
292500 7213.4
292750 7197.05
293000 7180.7
293250 7165.2
293500 7149.7
293750 7134.2
294000 7118.7
294250 7104
294500 7089.3
294750 7074.6
295000 7059.9
295250 7045.82
295500 7031.75
295750 7017.68
296000 7003.6
296250 6990
296500 6976.4
296750 6962.8
297000 6949.2
297250 6936.22
297500 6923.25
297750 6910.28
298000 6897.3
298250 6884.93
298500 6872.55
298750 6860.18
299000 6847.8
299250 6835.98
299500 6824.15
299750 6812.32
300000 6800.5
300250 6789.2
300500 6777.9
300750 6766.6
301000 6755.3
301250 6744.45
301500 6733.6
301750 6722.75
302000 6711.9
302250 6701.5
302500 6691.1
302750 6680.7
303000 6670.3
303250 6660.33
303500 6650.35
303750 6640.37
304000 6630.4
304250 6620.77
304500 6611.15
304750 6601.52
305000 6591.9
305250 6582.62
305500 6573.35
305750 6564.08
306000 6554.8
306250 6545.85
306500 6536.9
306750 6527.95
307000 6519
307250 6510.32
307500 6501.65
307750 6492.98
308000 6484.3
308250 6475.93
308500 6467.55
308750 6459.18
309000 6450.8
309250 6442.68
309500 6434.55
309750 6426.43
310000 6418.3
310250 6410.43
310500 6402.55
310750 6394.68
311000 6386.8
311250 6379.15
311500 6371.5
311750 6363.85
312000 6356.2
312250 6348.72
312500 6341.25
312750 6333.78
313000 6326.3
313250 6319.05
313500 6311.8
313750 6304.55
314000 6297.3
314250 6290.23
314500 6283.15
314750 6276.07
315000 6269
315250 6262.07
315500 6255.15
315750 6248.23
316000 6241.3
316250 6234.55
316500 6227.8
316750 6221.05
317000 6214.3
317250 6207.7
317500 6201.1
317750 6194.5
318000 6187.9
318250 6181.42
318500 6174.95
318750 6168.48
319000 6162
319250 6155.65
319500 6149.3
319750 6142.95
320000 6136.6
320250 6130.38
320500 6124.15
320750 6117.92
321000 6111.7
321250 6105.57
321500 6099.45
321750 6093.32
322000 6087.2
322250 6081.2
322500 6075.2
322750 6069.2
323000 6063.2
323250 6057.2
323500 6051.2
323750 6045.2
324000 6039.2
324250 6033.2
324500 6027.2
324750 6021.2
325000 6015.2
325250 6009.3
325500 6003.4
325750 5997.5
326000 5991.6
326250 5985.8
326500 5980
326750 5974.2
327000 5968.4
327250 5962.65
327500 5956.9
327750 5951.15
328000 5945.4
328250 5939.75
328500 5934.1
328750 5928.45
329000 5922.8
329250 5917.23
329500 5911.65
329750 5906.07
330000 5900.5
330250 5895
330500 5889.5
330750 5884
331000 5878.5
331250 5873.05
331500 5867.6
331750 5862.15
332000 5856.7
332250 5851.32
332500 5845.95
332750 5840.57
333000 5835.2
333250 5829.88
333500 5824.55
333750 5819.22
334000 5813.9
334250 5808.65
334500 5803.4
334750 5798.15
335000 5792.9
335250 5787.7
335500 5782.5
335750 5777.3
336000 5772.1
336250 5766.98
336500 5761.85
336750 5756.73
337000 5751.6
337250 5746.55
337500 5741.5
337750 5736.45
338000 5731.4
338250 5726.4
338500 5721.4
338750 5716.4
339000 5711.4
339250 5706.47
339500 5701.55
339750 5696.63
340000 5691.7
340250 5686.85
340500 5682
340750 5677.15
341000 5672.3
341250 5667.5
341500 5662.7
341750 5657.9
342000 5653.1
342250 5648.38
342500 5643.65
342750 5638.92
343000 5634.2
343250 5629.55
343500 5624.9
343750 5620.25
344000 5615.6
344250 5611
344500 5606.4
344750 5601.8
345000 5597.2
345250 5592.67
345500 5588.15
345750 5583.63
346000 5579.1
346250 5574.65
346500 5570.2
346750 5565.75
347000 5561.3
347250 5556.93
347500 5552.55
347750 5548.18
348000 5543.8
348250 5539.48
348500 5535.15
348750 5530.82
349000 5526.5
349250 5522.27
349500 5518.05
349750 5513.83
350000 5509.6
350250 5505.43
350500 5501.25
350750 5497.07
351000 5492.9
351250 5488.8
351500 5484.7
351750 5480.6
352000 5476.5
352250 5472.45
352500 5468.4
352750 5464.35
353000 5460.3
353250 5456.35
353500 5452.4
353750 5448.45
354000 5444.5
354250 5440.6
354500 5436.7
354750 5432.8
355000 5428.9
355250 5425.07
355500 5421.25
355750 5417.43
356000 5413.6
356250 5409.83
356500 5406.05
356750 5402.27
357000 5398.5
357250 5394.8
357500 5391.1
357750 5387.4
358000 5383.7
358250 5380.07
358500 5376.45
358750 5372.82
359000 5369.2
359250 5365.63
359500 5362.05
359750 5358.47
360000 5354.9
360250 5351.4
360500 5347.9
360750 5344.4
361000 5340.9
361250 5337.45
361500 5334
361750 5330.55
362000 5327.1
362250 5323.73
362500 5320.35
362750 5316.98
363000 5313.6
363250 5310.28
363500 5306.95
363750 5303.63
364000 5300.3
364250 5297.05
364500 5293.8
364750 5290.55
365000 5287.3
365250 5284.1
365500 5280.9
365750 5277.7
366000 5274.5
366250 5271.38
366500 5268.25
366750 5265.13
367000 5262
367250 5258.93
367500 5255.85
367750 5252.77
368000 5249.7
368250 5246.67
368500 5243.65
368750 5240.63
369000 5237.6
369250 5234.63
369500 5231.65
369750 5228.67
370000 5225.7
370250 5222.8
370500 5219.9
370750 5217
371000 5214.1
371250 5211.23
